Website,Title,Price,Date,Time
RelianceDigital,"Govo GoBass 610 Wired Earphone with Super Bass, Black(493072622)",Offer Price:  ₹449.00,2023-11-27,11:47:27
RelianceDigital,"Govo GoBass 910 Wired Earphone with Super Bass, Black(493072624)",Offer Price:  ₹319.00,2023-11-27,11:47:30
RelianceDigital,"GOVO GoBuds 600 True Wireless Bluetooth Earbuds with Up to 33 Hour Battery Life, Platinum Black(493072611)","Offer Price:  ₹1,599.00",2023-11-27,11:47:33
RelianceDigital,"GOVO GoBuds 920 True Wireless Bluetooth Earbuds with Upto 30 Hour Battery Life, Platinum Black(493072613)","Deal Price:  ₹1,943.00",2023-11-27,11:47:33
RelianceDigital,"Govo GOKIXX 410 Wireless Bluetooth Neckband Earphone with IPX5 Water Resistant, Platinum Black(493072614)",Offer Price:  ₹699.00,2023-11-27,11:47:36
RelianceDigital,"Govo GOKIXX 610 Wireless Bluetooth Neckband Earphone with IPX5 Water Resistant, Platinum Black(493072616)",Offer Price:  ₹819.00,2023-11-27,11:47:39
RelianceDigital,"Govo GOKIXX 620 Wireless Bluetooth Neckband Earphone with IPX5 Water Resistant, Platinum Black(493072617)",Offer Price:  ₹819.00,2023-11-27,11:47:40
RelianceDigital,"Govo GOKIXX 900 Wireless Bluetooth Neckband Earphone with IPX5 Water Resistant, Gun Metal Grey(493072619)",Offer Price:  ₹929.00,2023-11-27,11:47:43
RelianceDigital,"Govo GoCrush 410 Bluetooth Multimedia Speaker with 3D Sound, IPX7 Water Resistant, Platinum Black(493072625)","Offer Price:  ₹1,419.00",2023-11-27,11:47:45
RelianceDigital,"Govo GoCrush 421 Bluetooth Multimedia Speaker with 3D Sound, IPX7 Water Resistant, Platinum Black(493072626)","Offer Price:  ₹1,679.00",2023-11-27,11:47:45
RelianceDigital,"GOVO Go Buds 900 True Wireless Earbuds with Up to 20 Hours Playback, Black(493072612)","Offer Price:  ₹1,169.00",2023-11-27,11:47:46
Flipkart,"GOVO GOBASS 410 in Ear Earphones with Mic, 3D Bass with XL Drivers & 3.5mm Jack Wired Headset  (Platinum Black, In the Ear)",₹259,2023-11-28,11:40:01
Flipkart,"GOVO GOBASS 400 in-Ear Earphones with 10mm Drivers, Tangle Free cable & 3.5mm Jack Wired Headset  (Platinum Black, In the Ear)",₹399,2023-11-28,11:40:01
Flipkart,,,2023-11-28,11:40:02
Flipkart,"GOVO GOBASS 411 in Ear Wired Earphones with HD Mic, 10mm Dynamic Driver & 3.5mm Jack Wired Headset  (Blue, In the Ear)",,2023-11-28,11:40:02
Flipkart,"GOVO GOBASS 411 in Ear Wired Earphones with HD Mic, 10mm Dynamic Driver & 3.5mm Jack Wired Headset  (White, In the Ear)",,2023-11-28,11:40:03
Flipkart,"GOVO GOBASS 610 in-Ear Earphones with 12mm Drivers, Tangle Free cable & 3.5mm Jack Wired Headset  (Platinum Black, In the Ear)",₹451,2023-11-28,11:40:04
Flipkart,"GOVO GOBASS 900 in-Ear Earphones with 10mm Drivers, Tangle Free cable & 3.5mm Jack Wired Headset  (Platinum Black, In the Ear)",₹549,2023-11-28,11:40:04
Flipkart,"GOVO GOBASS 910 Wired Metal Earphones with 9mm Drivers,Tangle Free cable & 3.5mm Jack Wired Headset  (Gun Metal Gray, In the Ear)",₹549,2023-11-28,11:40:05
Flipkart,"GOVO GOBOLD 400 Bluetooth Wireless On Ear Headphones with 40mm Drivers &15H Playtime Bluetooth Headset  (Platinum Black, On the Ear)",,2023-11-28,11:40:05
Flipkart,"GOVO GOBOLD 410 Bluetooth Wireless On Ear Headphones with 40mm Drivers &15H Playtime Bluetooth Headset  (Platinum Black, On the Ear)",,2023-11-28,11:40:06
Flipkart,"GOVO GOBOLD 600 Bluetooth Wireless On Ear Headphones with 40mm Drivers &15H Playtime Bluetooth Headset  (Platinum Black, On the Ear)",,2023-11-28,11:40:06
Flipkart,"GOVO GOBOLD 610 Bluetooth Wireless On Ear Headphones with 40mm Drivers &15H Playtime Bluetooth Headset  (Platinum Black, On the Ear)",,2023-11-28,11:40:07
Flipkart,"GOVO GOBUDS 400 True Wireless in Ear Earbuds, ENC, 25H Playtime, Fast Charge,Type C Bluetooth Headset  (Platinum Black, True Wireless)","₹1,003",2023-11-28,11:40:07
Flipkart,"GOVO GOBUDS 410 True Wireless in Ear Earbuds, 20 Hours Battery,IPX5 & Type C Bluetooth Headset  (Platinum Black, True Wireless)","₹1,599",2023-11-28,11:40:08
Flipkart,"GOVO GOBUDS 600 True Wireless Earbuds,ENC,40H Playtime,Fast Charge,IPX5 & Type C Bluetooth Headset  (Platinum Black, True Wireless)","₹1,699",2023-11-28,11:40:09
Flipkart,"GOVO GOBUDS 621 True Wireless in Ear Earbuds, 20 Hours Battery, Fast Charge & Type C Bluetooth Headset  (Platinum Black, True Wireless)","₹1,999",2023-11-28,11:40:09
Flipkart,"GOVO GOBUDS 901 Bluetooth Headset  (Platinum Black, True Wireless)",,2023-11-28,11:40:10
Flipkart,"GOVO GOBUDS 920 True Wireless Earbuds, 30H Battery, Fast Charge ,IPX5 & Dual pairing Bluetooth Headset  (Platinum Black, True Wireless)","₹2,699",2023-11-28,11:40:10
Flipkart,"GOVO GOCRUSH 410 - Bluetooth Speaker, 1800mAh - 15H Battery, IPX7 & ABS Fabric 4 W Bluetooth Speaker  (Platinum Black, Stereo Channel)","₹1,799",2023-11-28,11:40:11
Flipkart,"GOVO GOCRUSH 421 - Bluetooth Speaker, 1800mAh - 15H Battery, IPX7 & ABS Fabric 5 W Bluetooth Speaker  (Platinum Black, Stereo Channel)","₹1,566",2023-11-28,11:40:12
Flipkart,"GOVO GOCRUSH 900 - Bluetooth Speaker, 3600mAh - 25H Battery, IPX7, ABS Fabric 16 W Bluetooth Speaker  (Platinum Black, Stereo Channel)","₹3,699",2023-11-28,11:40:12
Flipkart,"GOVO GOKIXX 400 Bluetooth Neckband, 9H Battery, 10mm Drivers, Magnetic buds, Type C Bluetooth Headset  (Platinum Black, In the Ear)","₹1,199",2023-11-28,11:40:13
Flipkart,"GOVO GOKIXX 410 Bluetooth Neckband, 8H battery, 10mm Drivers, IPX5, Magnetic Buds Bluetooth Headset  (Platinum Black, In the Ear)","₹1,299",2023-11-28,11:40:13
Flipkart,"GOVO GOKIXX 421 Bluetooth Neckband, 10H Battery, 10mm Drivers, Magnetic Buds Bluetooth Headset  (Platinum Black, In the Ear)",₹903,2023-11-28,11:40:14
Flipkart,"GOVO GOKIXX 610 Bluetooth Neckband, 12H Battery, Magnetic Buds,
 Lightweight Design Bluetooth Headset  (Platinum Black, In the Ear)","₹1,499",2023-11-28,11:40:15
Flipkart,"GOVO GOKIXX 620 Bluetooth Neckband, 20H Battery, 10mm Drivers, Magnetic Buds Bluetooth Headset  (Platinum Black, In the Ear)","₹1,499",2023-11-28,11:40:15
Flipkart,"GOVO GOKIXX 621 Bluetooth Neckband|22H Battery-Fast Charge,ENC & Smart Magnetic Buds Bluetooth Headset  (Platinum Black, In the Ear)","₹1,199",2023-11-28,11:40:16
Flipkart,"GOVO GOKIXX 630 Bluetooth Neckband,10H Battery-Fast Charge,Dual Pairing,Magnetic Buds Bluetooth Headset  (Platinum Black, In the Ear)",₹903,2023-11-28,11:40:16
Flipkart,"GOVO GOKIXX 651 Bluetooth Neckband, 12H Battery-Fast Charge, Metal Magnetic Buds Bluetooth Headset  (Graphite Gray, In the Ear)","₹1,599",2023-11-28,11:40:17
Flipkart,"GOVO GOKIXX 900 Bluetooth Neckband,12H Battery,12mm Drivers, Premium Gun Metal Finish Bluetooth Headset  (Platinum Black, In the Ear)",₹929,2023-11-28,11:40:18
Flipkart,"GOVO GOKIXX 952 Bluetooth Neckband, 106H Battery-Fast Charge, ENC, 10mm Drivers Bluetooth Headset  (Gun Metal Grey, In the Ear)","₹1,699",2023-11-28,11:40:18
Flipkart,"GOVO GOSURROUND 410 Max 2.0 Channel Soundbar with HDMI|AUX|USB|OPT & LED Display 40 W Bluetooth Soundbar  (Platinum Black, 2.1 Channel)","₹3,999",2023-11-28,11:40:19
Flipkart,"GOVO GOSURROUND 430 | 80 W Bluetooth Soundbar  (Platinum Black, 2.1 Channel)","₹4,499",2023-11-28,11:40:19
Flipkart,"GOVO GOSURROUND 610 | 100W Bluetooth Soundbar | 2.1 Channel with Wired Subwoofer 100 W Bluetooth Soundbar  (Platinum Black, 2.1 Channel)","₹5,499",2023-11-28,11:40:20
Flipkart,"GOVO GOSURROUND 620 Max 2.1 Channel Soundbar, 5.25"" Subwoofer & LED Display 100 W Bluetooth Soundbar  (Platinum Black, 2.1 Channel)","₹16,999",2023-11-28,11:40:20
Flipkart,"GOVO GOSURROUND 900 | 200W Bluetooth Soundbar| 2.1 Channel with 6.5'' Wired Subwoofer 200 W Bluetooth Soundbar  (Platinum Black, 2.1 Channel)","₹5,499",2023-11-28,11:40:21
Flipkart,"GOVO GOSURROUND 920|200W Bluetooth Soundbar|2.1 Channel with 6.5'' Wireless Subwoofer 200 W Bluetooth Soundbar  (Platinum Black, 2.1 Channel)","₹6,999",2023-11-28,11:40:22
Flipkart,"GOVO GOSURROUND 200 | 16 W Bluetooth Soundbar, 2000 mAh Battery, 2.0 Channel 16 W Bluetooth Soundbar  (Platinum Black, 2.0 Channel)","₹1,199",2023-11-28,11:40:23
Flipkart,"GOVO GOBUDS 577 Bluetooth Headset  (Metallic Night, True Wireless)",,2023-11-28,11:40:23
Flipkart,"GOVO GOBUDS 455 Bluetooth Headset  (Platinum Black, True Wireless)",,2023-11-28,11:40:24
Flipkart,"GOVO GOSURROUND 750 | 120W Bluetooth Soundbar|2.1 Channel with 5.25'' Wired Subwoofer 120 W Bluetooth Soundbar  (Platinum Black, 2.1 Channel)","₹5,499",2023-11-28,11:40:25
Govolife,GoBass 400,₹299,2023-11-28,11:40:26
Govolife,GoBass 410,₹259,2023-11-28,11:40:27
Govolife,GoBass 411,₹349,2023-11-28,11:40:27
Govolife,GoBass 411,₹349,2023-11-28,11:40:29
Govolife,GoBass 411,₹349,2023-11-28,11:40:29
Govolife,GoSurround 750,"₹5,499",2023-11-28,11:40:30
Govolife,,,2023-11-28,11:40:32
Govolife,GoSurround 350,"₹1,699",2023-11-28,11:40:33
Govolife,GoSurround 220,"₹1,199",2023-11-28,11:40:34
Govolife,GoBass 610,₹399,2023-11-28,11:40:35
Govolife,GoBass 900,₹549,2023-11-28,11:40:36
Govolife,GoBass 910,₹399,2023-11-28,11:40:36
Govolife,GoBold 400,₹999,2023-11-28,11:40:37
Govolife,GoBold 410,"₹1,099",2023-11-28,11:40:38
Govolife,GoBold 600,"₹1,299",2023-11-28,11:40:40
Govolife,,,2023-11-28,11:40:41
Govolife,GoBuds 400,₹999,2023-11-28,11:40:42
Govolife,GoBuds 410,"₹1,099",2023-11-28,11:40:43
Govolife,GoBuds 600,₹899,2023-11-28,11:40:44
Govolife,GoBuds 621,₹999,2023-11-28,11:40:45
Govolife,,,2023-11-28,11:40:45
Govolife,GoBuds 901,"₹1,599",2023-11-28,11:40:46
Govolife,,,2023-11-28,11:40:46
Govolife,,,2023-11-28,11:40:47
Govolife,GoCrush 410,₹999,2023-11-28,11:40:48
Govolife,GoCrush 421,₹999,2023-11-28,11:40:49
Govolife,GoCrush 900,"₹2,499",2023-11-28,11:40:50
Govolife,GoKixx 400,₹699,2023-11-28,11:40:51
Govolife,GoKixx 410,₹699,2023-11-28,11:40:52
Govolife,GoKixx 421,₹749,2023-11-28,11:40:52
Govolife,GoKixx 610,₹799,2023-11-28,11:40:53
Govolife,GoKixx 620,₹899,2023-11-28,11:40:54
Govolife,GoKixx 621,₹699,2023-11-28,11:40:55
Govolife,GoKixx 630,₹899,2023-11-28,11:40:56
Govolife,GoKixx 651,"₹1,199",2023-11-28,11:40:57
Govolife,GOKIXX 652,"₹1,199",2023-11-28,11:40:58
Govolife,GoKixx 900,₹999,2023-11-28,11:40:59
Govolife,,,2023-11-28,11:40:59
Govolife,,,2023-11-28,11:41:00
Govolife,,,2023-11-28,11:41:00
Govolife,,,2023-11-28,11:41:01
Govolife,,,2023-11-28,11:41:02
Govolife,,,2023-11-28,11:41:02
Govolife,,,2023-11-28,11:41:03
Govolife,,,2023-11-28,11:41:03
Govolife,GoKixx 621,₹699,2023-11-28,11:41:04
Govolife,GoSurround 200,₹999,2023-11-28,11:41:05
Govolife,GoSurround 950,"₹8,499",2023-11-28,11:41:06
Govolife,GoBuds 945,"₹1,199",2023-11-28,11:41:07
Nyka.com,GOVO GOBASS 400 in-Ear Wired Earphones 3D Bass HD Mic Passive Noise Cancellation (Platinum Black)(Free Size),₹399,2023-11-28,11:41:07
Nyka.com,GOVO GOBASS 410 in-Ear Wired Earphones 3D Bass HD Mic Passive Noise Cancellation (Platinum Black)(Free Size),₹1149,2023-11-28,11:41:08
Nyka.com,GOVO GOBASS 900 in-Ear Wired Earphones 3D Sound Super Bass and HD Mic (Black)(Free Size),₹1399,2023-11-28,11:41:08
Nyka.com,GOVO GOBASS 910 in-Ear Wired Earphones 3D Sound Magnetic Earbuds and HD mic (Black)(Free Size),₹549,2023-11-28,11:41:09
Nyka.com,GOVO GOBUDS 400 TWS Earbuds 3D Stereo Sound 20 Hrs Battery Life IPX5 Touch Control (Platinum Black)(Free Size),₹1099,2023-11-28,11:41:09
Nyka.com,GOVO GOBUDS 600 TWS Earbuds 3D Stereo Sound 33 Hrs Battery IPX5 Super Touch Control (Black)(Free Size),₹1299,2023-11-28,11:41:09
Nyka.com,GOVO GOBUDS 920 TWS Earbuds 30 Hours Battery Life IPX5 BT v5.1 Super Touch Control (Platinum Black)(Free Size),₹2499,2023-11-28,11:41:10
Nyka.com,GOVO GOKIXX 400 in-Ear Wireless Neckband with Magnetic Earbuds 8 Hrs Playtime IPX5 (Platinum Black)(Free Size),₹699,2023-11-28,11:41:10
Nyka.com,GOVO GOKIXX 410 in-Ear Neckband with Magnetic Earbuds 3D Stereo 8 Hrs Playtime (Platinum Black)(Free Size),₹769,2023-11-28,11:41:11
Nyka.com,GOVO GOKIXX 421 in-Ear Neckband with Magnetic Earbuds 10 Hrs+ Playtime IPX5 (Platinum Black)(Free Size),₹699,2023-11-28,11:41:11
Nyka.com,GOVO GOKIXX 610 in-Ear Neckband with Metallic and Magnetic Earbuds 12H Playtime IPX5 (Black)(Free Size),₹799,2023-11-28,11:41:12
Nyka.com,GOVO GOKIXX 620 Wireless Neckband Magnetic buds 3D Surround 20 H Playtime IPX5 (Platinum Black)(Free Size),₹799,2023-11-28,11:41:12
Nyka.com,GOVO GOKIXX 630 in-Ear Neckband with Magnetic Earbuds 10 Hrs+ Playtime IPX5 (Platinum Black)(Free Size),₹899,2023-11-28,11:41:12
Nyka.com,GOVO GOKIXX 900 in-Ear Neckband with Magnetic Earbuds 3D Surround 12H Playtime IPX5 (Black)(Free Size),₹899,2023-11-28,11:41:13
Nyka.com,GOVO GOCRUSH 410 Portable BT Speaker 4W sound 15 Hrs Playtime IPX7 ABS fabric (Platinum Black)(Free Size),₹1699,2023-11-28,11:41:13
Nyka.com,GOVO GOCRUSH 421 Portable BT Speaker 5W sound 15 Hrs Playtime IPX7 ABD fabric (Platinum Black)(Free Size),₹1699,2023-11-28,11:41:13
Nyka.com,GOVO GOCRUSH 900 Wireless Speaker 24W Explosive sound 15H Playtime IPX7 ABS Fabric (Black)(Free Size),₹3499,2023-11-28,11:41:14
Nyka Fashion,GOBASS 410 in-Ear Wired Earphones 3D Bass HD Mic Passive Noise Cancellation (Platinum Black),₹701,2023-11-28,11:41:14
Nyka Fashion,GOBASS 400 in-Ear Wired Earphones 3D Bass HD Mic Passive Noise Cancellation (Platinum Black),₹504,2023-11-28,11:41:15
Nyka Fashion,GOBASS 610 in-Ear Wired Earphones with HD-Mic Powerful Bass Hammer Design (Platinum Black),₹806,2023-11-28,11:41:15
Nyka Fashion,GOBASS 900 in-Ear Wired Earphones 3D Sound Super Bass and HD Mic (Black),₹854,2023-11-28,11:41:16
Nyka Fashion,GOBASS 910 in-Ear Wired Earphones 3D Sound Magnetic Earbuds and HD mic (Black),₹854,2023-11-28,11:41:16
Nyka Fashion,GOBUDS 400 TWS Earbuds 3D Stereo Sound 20 Hrs Battery Life IPX5 Touch Control (Platinum Black),"₹2,310",2023-11-28,11:41:16
Nyka Fashion,GOBUDS 600 TWS Earbuds 3D Stereo Sound 33 Hrs Battery IPX5 Super Touch Control (Black),"₹2,613",2023-11-28,11:41:17
Nyka Fashion,GOBUDS 920 TWS Earbuds 30 Hours Battery Life IPX5 BT v5.1 Super Touch Control (Platinum Black),"₹4,788",2023-11-28,11:41:17
Nyka Fashion,GOKIXX 400 in-Ear Wireless Neckband with Magnetic Earbuds 8 Hrs Playtime IPX5 (Platinum Black),₹699,2023-11-28,11:41:18
Nyka Fashion,GOKIXX 410 in-Ear Neckband with Magnetic Earbuds 3D Stereo 8 Hrs Playtime (Platinum Black),"₹2,607",2023-11-28,11:41:18
Nyka Fashion,GOKIXX 421 in-Ear Neckband with Magnetic Earbuds 10 Hrs+ Playtime IPX5 (Platinum Black),"₹2,607",2023-11-28,11:41:19
Nyka Fashion,GOKIXX 610 in-Ear Neckband with Metallic and Magnetic Earbuds 12H Playtime IPX5 (Black),"₹3,002",2023-11-28,11:41:19
Nyka Fashion,GOKIXX 620 Wireless Neckband Magnetic buds 3D Surround 20 H Playtime IPX5 (Platinum Black),"₹3,002",2023-11-28,11:41:20
Nyka Fashion,GOKIXX 900 in-Ear Neckband with Magnetic Earbuds 3D Surround 12H Playtime IPX5 (Black),"₹3,040",2023-11-28,11:41:20
Nyka Fashion,GOCRUSH 410 Portable BT Speaker 4W sound 15 Hrs Playtime IPX7 ABS fabric (Platinum Black),"₹2,800",2023-11-28,11:41:21
Nyka Fashion,GOCRUSH 421 Portable BT Speaker 5W sound 15 Hrs Playtime IPX7 ABD fabric (Platinum Black),"₹3,285",2023-11-28,11:41:21
Nyka Fashion,GOCRUSH 900 Wireless Speaker 24W Explosive sound 15H Playtime IPX7 ABS Fabric (Black),"₹4,480",2023-11-28,11:41:21
Jiomart,"Govo GoBass 410 Wired Earphone with Super Bass,Passive noise cancellation, HD microphone, Multifunction control, Black",,2023-11-28,11:41:22
Jiomart,"Govo GoBass 610 Wired Earphone with Super Bass, Black",,2023-11-28,11:41:23
Jiomart,"Govo GoBass 910 Wired Earphone with Super Bass, Black",,2023-11-28,11:41:23
Jiomart,"GOVO GoBuds 600 True Wireless Bluetooth Earbuds with Up to 33 Hour Battery Life, Platinum Black",,2023-11-28,11:41:24
Jiomart,"GOVO GoBuds 920 True Wireless Bluetooth Earbuds with Upto 30 Hour Battery Life, Platinum Black",,2023-11-28,11:41:24
Jiomart,"Govo GOKIXX 410 Wireless Bluetooth Neckband Earphone with IPX5 Water Resistant, Platinum Black",,2023-11-28,11:41:25
Jiomart,"Govo GOKIXX 610 Wireless Bluetooth Neckband Earphone with IPX5 Water Resistant, Platinum Black",,2023-11-28,11:41:25
Jiomart,"Govo GOKIXX 620 Wireless Bluetooth Neckband Earphone with IPX5 Water Resistant, Platinum Black",,2023-11-28,11:41:26
Jiomart,"Govo GOKIXX 900 Wireless Bluetooth Neckband Earphone with IPX5 Water Resistant, Gun Metal Grey",,2023-11-28,11:41:27
Jiomart,"Govo GoCrush 410 Bluetooth Multimedia Speaker with 3D Sound, IPX7 Water Resistant, Platinum Black",,2023-11-28,11:41:27
Jiomart,"Govo GoCrush 421 Bluetooth Multimedia Speaker with 3D Sound, IPX7 Water Resistant, Platinum Black",,2023-11-28,11:41:28
Jiomart,"GOVO Go Buds 900 True Wireless Earbuds with Up to 20 Hours Playback, Black",,2023-11-28,11:43:35
RelianceDigital,"Govo GoBass 410 Wired Earphone with Super Bass,Passive noise cancellation, HD microphone, Multifunction control, Black(493072621)",Offer Price:  ₹229.00,2023-11-28,11:43:38
RelianceDigital,"Govo GoBass 610 Wired Earphone with Super Bass, Black(493072622)",Offer Price:  ₹449.00,2023-11-28,11:43:41
RelianceDigital,"Govo GoBass 910 Wired Earphone with Super Bass, Black(493072624)",Offer Price:  ₹319.00,2023-11-28,11:43:41
RelianceDigital,"GOVO GoBuds 600 True Wireless Bluetooth Earbuds with Up to 33 Hour Battery Life, Platinum Black(493072611)","Offer Price:  ₹1,599.00",2023-11-28,11:43:44
RelianceDigital,"GOVO GoBuds 920 True Wireless Bluetooth Earbuds with Upto 30 Hour Battery Life, Platinum Black(493072613)","Deal Price:  ₹1,943.00",2023-11-28,11:43:47
RelianceDigital,"Govo GOKIXX 410 Wireless Bluetooth Neckband Earphone with IPX5 Water Resistant, Platinum Black(493072614)",Offer Price:  ₹699.00,2023-11-28,11:43:49
RelianceDigital,"Govo GOKIXX 610 Wireless Bluetooth Neckband Earphone with IPX5 Water Resistant, Platinum Black(493072616)",Offer Price:  ₹819.00,2023-11-28,11:43:52
RelianceDigital,"Govo GOKIXX 620 Wireless Bluetooth Neckband Earphone with IPX5 Water Resistant, Platinum Black(493072617)",Offer Price:  ₹819.00,2023-11-28,11:43:54
RelianceDigital,"Govo GOKIXX 900 Wireless Bluetooth Neckband Earphone with IPX5 Water Resistant, Gun Metal Grey(493072619)",Offer Price:  ₹929.00,2023-11-28,11:43:57
RelianceDigital,"Govo GoCrush 410 Bluetooth Multimedia Speaker with 3D Sound, IPX7 Water Resistant, Platinum Black(493072625)","Offer Price:  ₹1,419.00",2023-11-28,11:43:58
RelianceDigital,"Govo GoCrush 421 Bluetooth Multimedia Speaker with 3D Sound, IPX7 Water Resistant, Platinum Black(493072626)","Offer Price:  ₹1,679.00",2023-11-28,11:43:59
RelianceDigital,"GOVO Go Buds 900 True Wireless Earbuds with Up to 20 Hours Playback, Black(493072612)","Offer Price:  ₹1,169.00",2023-11-28,11:43:59
Flipkart,"GOVO GOBASS 410 in Ear Earphones with Mic, 3D Bass with XL Drivers & 3.5mm Jack Wired Headset  (Platinum Black, In the Ear)",₹259,2023-11-29,11:40:01
Flipkart,"GOVO GOBASS 400 in-Ear Earphones with 10mm Drivers, Tangle Free cable & 3.5mm Jack Wired Headset  (Platinum Black, In the Ear)",₹399,2023-11-29,11:40:02
Flipkart,,,2023-11-29,11:40:02
Flipkart,"GOVO GOBASS 411 in Ear Wired Earphones with HD Mic, 10mm Dynamic Driver & 3.5mm Jack Wired Headset  (Blue, In the Ear)",,2023-11-29,11:40:02
Flipkart,"GOVO GOBASS 411 in Ear Wired Earphones with HD Mic, 10mm Dynamic Driver & 3.5mm Jack Wired Headset  (White, In the Ear)",,2023-11-29,11:40:03
Flipkart,"GOVO GOBASS 610 in-Ear Earphones with 12mm Drivers, Tangle Free cable & 3.5mm Jack Wired Headset  (Platinum Black, In the Ear)",₹451,2023-11-29,11:40:04
Flipkart,"GOVO GOBASS 900 in-Ear Earphones with 10mm Drivers, Tangle Free cable & 3.5mm Jack Wired Headset  (Platinum Black, In the Ear)",₹549,2023-11-29,11:40:04
Flipkart,"GOVO GOBASS 910 Wired Metal Earphones with 9mm Drivers,Tangle Free cable & 3.5mm Jack Wired Headset  (Gun Metal Gray, In the Ear)",₹549,2023-11-29,11:40:05
Flipkart,"GOVO GOBOLD 400 Bluetooth Wireless On Ear Headphones with 40mm Drivers &15H Playtime Bluetooth Headset  (Platinum Black, On the Ear)",,2023-11-29,11:40:05
Flipkart,"GOVO GOBOLD 410 Bluetooth Wireless On Ear Headphones with 40mm Drivers &15H Playtime Bluetooth Headset  (Platinum Black, On the Ear)",,2023-11-29,11:40:06
Flipkart,"GOVO GOBOLD 600 Bluetooth Wireless On Ear Headphones with 40mm Drivers &15H Playtime Bluetooth Headset  (Platinum Black, On the Ear)",,2023-11-29,11:40:06
Flipkart,"GOVO GOBOLD 610 Bluetooth Wireless On Ear Headphones with 40mm Drivers &15H Playtime Bluetooth Headset  (Platinum Black, On the Ear)",,2023-11-29,11:40:07
Flipkart,"GOVO GOBUDS 400 True Wireless in Ear Earbuds, ENC, 25H Playtime, Fast Charge,Type C Bluetooth Headset  (Platinum Black, True Wireless)","₹1,003",2023-11-29,11:40:07
Flipkart,"GOVO GOBUDS 410 True Wireless in Ear Earbuds, 20 Hours Battery,IPX5 & Type C Bluetooth Headset  (Platinum Black, True Wireless)","₹1,599",2023-11-29,11:40:08
Flipkart,"GOVO GOBUDS 600 True Wireless Earbuds,ENC,40H Playtime,Fast Charge,IPX5 & Type C Bluetooth Headset  (Platinum Black, True Wireless)","₹1,699",2023-11-29,11:40:09
Flipkart,"GOVO GOBUDS 621 True Wireless in Ear Earbuds, 20 Hours Battery, Fast Charge & Type C Bluetooth Headset  (Platinum Black, True Wireless)","₹1,999",2023-11-29,11:40:09
Flipkart,"GOVO GOBUDS 901 Bluetooth Headset  (Platinum Black, True Wireless)",,2023-11-29,11:40:10
Flipkart,"GOVO GOBUDS 920 True Wireless Earbuds, 30H Battery, Fast Charge ,IPX5 & Dual pairing Bluetooth Headset  (Platinum Black, True Wireless)","₹2,699",2023-11-29,11:40:10
Flipkart,"GOVO GOCRUSH 410 - Bluetooth Speaker, 1800mAh - 15H Battery, IPX7 & ABS Fabric 4 W Bluetooth Speaker  (Platinum Black, Stereo Channel)","₹1,799",2023-11-29,11:40:11
Flipkart,"GOVO GOCRUSH 421 - Bluetooth Speaker, 1800mAh - 15H Battery, IPX7 & ABS Fabric 5 W Bluetooth Speaker  (Platinum Black, Stereo Channel)","₹1,566",2023-11-29,11:40:12
Flipkart,"GOVO GOCRUSH 900 - Bluetooth Speaker, 3600mAh - 25H Battery, IPX7, ABS Fabric 16 W Bluetooth Speaker  (Platinum Black, Stereo Channel)","₹3,699",2023-11-29,11:40:12
Flipkart,"GOVO GOKIXX 400 Bluetooth Neckband, 9H Battery, 10mm Drivers, Magnetic buds, Type C Bluetooth Headset  (Platinum Black, In the Ear)","₹1,199",2023-11-29,11:40:13
Flipkart,"GOVO GOKIXX 410 Bluetooth Neckband, 8H battery, 10mm Drivers, IPX5, Magnetic Buds Bluetooth Headset  (Platinum Black, In the Ear)","₹1,299",2023-11-29,11:40:14
Flipkart,"GOVO GOKIXX 421 Bluetooth Neckband, 10H Battery, 10mm Drivers, Magnetic Buds Bluetooth Headset  (Platinum Black, In the Ear)",₹903,2023-11-29,11:40:14
Flipkart,"GOVO GOKIXX 610 Bluetooth Neckband, 12H Battery, Magnetic Buds,
 Lightweight Design Bluetooth Headset  (Platinum Black, In the Ear)","₹1,499",2023-11-29,11:40:15
Flipkart,"GOVO GOKIXX 620 Bluetooth Neckband, 20H Battery, 10mm Drivers, Magnetic Buds Bluetooth Headset  (Platinum Black, In the Ear)","₹1,499",2023-11-29,11:40:16
Flipkart,"GOVO GOKIXX 621 Bluetooth Neckband|22H Battery-Fast Charge,ENC & Smart Magnetic Buds Bluetooth Headset  (Platinum Black, In the Ear)","₹1,199",2023-11-29,11:40:16
Flipkart,"GOVO GOKIXX 630 Bluetooth Neckband,10H Battery-Fast Charge,Dual Pairing,Magnetic Buds Bluetooth Headset  (Platinum Black, In the Ear)",₹903,2023-11-29,11:40:17
Flipkart,"GOVO GOKIXX 651 Bluetooth Neckband, 12H Battery-Fast Charge, Metal Magnetic Buds Bluetooth Headset  (Graphite Gray, In the Ear)","₹1,599",2023-11-29,11:40:18
Flipkart,"GOVO GOKIXX 900 Bluetooth Neckband,12H Battery,12mm Drivers, Premium Gun Metal Finish Bluetooth Headset  (Platinum Black, In the Ear)",₹929,2023-11-29,11:40:19
Flipkart,"GOVO GOKIXX 952 Bluetooth Neckband, 106H Battery-Fast Charge, ENC, 10mm Drivers Bluetooth Headset  (Gun Metal Grey, In the Ear)","₹1,699",2023-11-29,11:40:19
